person_id,name,gender,age,id_card,insurance_type,region,register_date,status,name_mask,id_card_mask,person_id_mask
P202304711,宋涛,男,39,410302198508089088,城镇职工,许昌市,2023-10-05,在保,宋*,4103****9088,P2023****1
P202300692,郑杰,男,70,410202195407219328,城镇职工,郑州市,2021-08-16,在保,郑*,4102****9328,P2023****2
P202300066,梁语嫣,女,74,410103195005152512,城镇职工,周口市,2023-06-03,在保,梁**,4101****2512,P2023****6
P202303427,魏国强,男,54,410302197012113600,城乡居民,平顶山市,2022-04-17,在保,魏**,4103****3600,P2023****7
P202304821,朱秀英,女,47,410202197702185152,城镇职工,焦作市,2024-04-09,在保,朱**,4102****5152,P2023****1
P202300394,何凤英,女,82,410104194201282944,城镇职工,平顶山市,2023-10-18,在保,何**,4101****2944,P2023****4
P202301425,程志强,男,31,410105199301273984,城镇职工,洛阳市,2024-04-10,在保,程**,4101****3984,P2023****5
P202300643,宋佳慧,女,45,410302197906049984,城乡居民,驻马店市,2020-10-08,在保,宋**,4103****9984,P2023****3
P202302836,蒋娟,女,44,410102198012063104,城乡居民,商丘市,2020-12-17,在保,蒋*,4101****3104,P2023****6
P202301739,胡涛,男,67,410103195703113664,城乡居民,新乡市,2021-12-07,停保,胡*,4101****3664,P2023****9
P202302946,郭晓红,女,29,410302199511231424,城乡居民,开封市,2020-04-08,在保,郭**,4103****1424,P2023****6
P202302068,胡娜,女,47,410202197701052352,城镇职工,平顶山市,2022-01-20,停保,胡*,4102****2352,P2023****8
P202303348,宋桂英,女,78,410106194607129344,城乡居民,开封市,2024-02-27,在保,宋**,4101****9344,P2023****8
P202300531,傅婷,女,61,410702196303040384,城乡居民,焦作市,2020-11-15,在保,傅*,4107****0384,P2023****1
P202304302,吴斌,男,25,410402199904081600,城乡居民,开封市,2022-07-08,在保,吴*,4104****1600,P2023****2
P202300829,于艳,女,42,410202198211116480,城乡居民,平顶山市,2023-12-20,在保,于*,4102****6480,P2023****9
P202301205,董秀兰,女,50,410102197405167424,城镇职工,焦作市,2023-07-27,在保,董**,4101****7424,P2023****5
P202300180,丁欣怡,女,95,410302192907275904,城乡居民,开封市,2021-10-11,在保,丁**,4103****5904,P2023****0
P202302766,唐超,男,64,410402196005055616,城镇职工,鹤壁市,2023-10-15,在保,唐*,4104****5616,P2023****6
