person_id,name,gender,age,id_card,insurance_type,region,register_date,status
P202304711,宋涛,男,39,410302198508089100,城镇职工,许昌市,2023-10-05,在保
P202300692,郑杰,男,70,410202195407219335,城镇职工,郑州市,2021-08-16,在保
P202300066,梁语嫣,女,74,410103195005152497,城镇职工,周口市,2023-06-03,在保
P202303427,魏国强,男,54,410302197012113598,城乡居民,平顶山市,2022-04-17,在保
P202304821,朱秀英,女,47,410202197702185168,城镇职工,焦作市,2024-04-09,在保
P202300394,何凤英,女,82,410104194201282975,城镇职工,平顶山市,2023-10-18,在保
P202301425,程志强,男,31,410105199301273972,城镇职工,洛阳市,2024-04-10,在保
P202300643,宋佳慧,女,45,410302197906049999,城乡居民,驻马店市,2020-10-08,在保
P202302836,蒋娟,女,44,410102198012063122,城乡居民,商丘市,2020-12-17,在保
P202301739,胡涛,男,67,410103195703113662,城乡居民,新乡市,2021-12-07,停保
P202302946,郭晓红,女,29,410302199511231417,城乡居民,开封市,2020-04-08,在保
P202302068,胡娜,女,47,410202197701052338,城镇职工,平顶山市,2022-01-20,停保
P202303348,宋桂英,女,78,410106194607129314,城乡居民,开封市,2024-02-27,在保
P202300531,傅婷,女,61,410702196303040387,城乡居民,焦作市,2020-11-15,在保
P202304302,吴斌,男,25,410402199904081586,城乡居民,开封市,2022-07-08,在保
P202300829,于艳,女,42,410202198211116504,城乡居民,平顶山市,2023-12-20,在保
P202301205,董秀兰,女,50,410102197405167453,城镇职工,焦作市,2023-07-27,在保
P202300180,丁欣怡,女,95,410302192907275881,城乡居民,开封市,2021-10-11,在保
P202302766,唐超,男,64,410402196005055646,城镇职工,鹤壁市,2023-10-15,在保
P202301778,唐丽,女,49,410202197509269346,灵活就业,南阳市,2020-04-29,退保
P202304928,萧淑珍,女,54,410202197009220578,城镇职工,安阳市,2021-01-22,在保
P202300492,苏宇航,男,76,410302194811205856,灵活就业,鹤壁市,2020-05-26,在保
P202304654,吴丽,女,61,410502196311078034,城镇职工,平顶山市,2022-04-15,在保
P202300034,杨海涛,男,30,410106199401013412,城职,商丘市,2021-06-20,在保
P202303023,董浩然,男,42,410202198202055679,城镇职工,南阳市,2020-12-19,在保
P202303621,贾浩然,男,25,410102199912030585,城乡居民,许昌市,2022-01-13,停保
P202300486,郭凤英,女,24,410104200010222341,城镇职工,许昌市,2021-07-06,在保
P202300080,何宇航,男,14,410702201011269563,城乡居民,南阳市,2020-08-23,在保
P202301345,李芳,女,67,410302195707281025,城镇职工,焦作市,2021-09-26,在保
P202300578,薛文博,男,63,410702196107140465,城镇职工,焦作市,2023-02-21,在保
P202301176,朱淑珍,女,44,410102198011241536,城乡居民,平顶山市,2023-08-22,在保
P202301488,吕诗涵,女,18,410106200606197749,城乡居民,郑州市,2022-11-13,在保
P202300498,梁语嫣,女,46,410502197805184552,城乡居民,许昌市,2023-01-09,在保
P202304103,于涛,男,74,410502195002153222,城镇职工,安阳市,2023-08-19,在保
P202301145,董斌,男,46,410103197810031308,城乡居民,安阳市,2020-07-25,在保
P202303735,魏俊杰,男,64,410302196011163030,城镇职工,鹤壁市,2023-11-11,在保
P202304238,董娟,女,43,410302198107015858,灵活就业,平顶山市,2024-02-27,停保
P202303244,陈天宇,男,69,410302195507104839,城乡居民,鹤壁市,2022-01-23,在保
P202301236,韩超,男,79,410102194504153698,城镇职工,新乡市,2020-01-12,在保
P202304569,高浩然,男,76,410104194810233165,城乡居民,商丘市,2022-07-24,在保
P202304268,沈玉兰,女,14,410105201012258095,城镇职工,安阳市,2020-07-24,在保
P202300625,陈伟,男,78,410502194602224565,城镇职工,新乡市,2024-01-25,在保
