person_id,name,gender,age,id_card,insurance_type,region,register_date,status,etl_date
P202304711,宋涛,男,39,4.103021985080891e+17,城镇职工,许昌市,2023-10-05,在保,2026-07-02
P202300692,郑杰,男,70,4.102021954072193e+17,城镇职工,郑州市,2021-08-16,在保,2026-07-02
P202300066,梁语嫣,女,74,4.101031950051525e+17,城镇职工,周口市,2023-06-03,在保,2026-07-02
P202303427,魏国强,男,54,4.103021970121136e+17,城乡居民,平顶山市,2022-04-17,在保,2026-07-02
P202304821,朱秀英,女,47,4.1020219770218515e+17,城镇职工,焦作市,2024-04-09,在保,2026-07-02
P202300394,何凤英,女,82,4.1010419420128294e+17,城镇职工,平顶山市,2023-10-18,在保,2026-07-02
P202301425,程志强,男,31,4.10105199301274e+17,城镇职工,洛阳市,2024-04-10,在保,2026-07-02
P202300643,宋佳慧,女,45,4.1030219790605e+17,城乡居民,驻马店市,2020-10-08,在保,2026-07-02
P202302836,蒋娟,女,44,4.101021980120631e+17,城乡居民,商丘市,2020-12-17,在保,2026-07-02
P202301739,胡涛,男,67,4.1010319570311366e+17,城乡居民,新乡市,2021-12-07,停保,2026-07-02
P202302946,郭晓红,女,29,4.103021995112314e+17,城乡居民,开封市,2020-04-08,在保,2026-07-02
P202302068,胡娜,女,47,4.1020219770105235e+17,城镇职工,平顶山市,2022-01-20,停保,2026-07-02
P202303348,宋桂英,女,78,4.1010619460712934e+17,城乡居民,开封市,2024-02-27,在保,2026-07-02
P202300531,傅婷,女,61,4.107021963030404e+17,城乡居民,焦作市,2020-11-15,在保,2026-07-02
P202304302,吴斌,男,25,4.104021999040816e+17,城乡居民,开封市,2022-07-08,在保,2026-07-02
P202300829,于艳,女,42,4.102021982111165e+17,城乡居民,平顶山市,2023-12-20,在保,2026-07-02
P202301205,董秀兰,女,50,4.101021974051674e+17,城镇职工,焦作市,2023-07-27,在保,2026-07-02
P202300180,丁欣怡,女,95,4.103021929072759e+17,城乡居民,开封市,2021-10-11,在保,2026-07-02
P202302766,唐超,男,64,4.104021960050556e+17,城镇职工,鹤壁市,2023-10-15,在保,2026-07-02
P202301778,唐丽,女,49,4.102021975092694e+17,灵活就业,南阳市,2020-04-29,退保,2026-07-02
P202304928,萧淑珍,女,54,4.102021970092206e+17,城镇职工,安阳市,2021-01-22,在保,2026-07-02
P202300492,苏宇航,男,76,4.103021948112059e+17,灵活就业,鹤壁市,2020-05-26,在保,2026-07-02
P202304654,吴丽,女,61,4.10502196311078e+17,城镇职工,平顶山市,2022-04-15,在保,2026-07-02
P202300034,杨海涛,男,30,4.1010619940101344e+17,城职,商丘市,2021-06-20,在保,2026-07-02
P202303023,董浩然,男,42,4.102021982020557e+17,城镇职工,南阳市,2020-12-19,在保,2026-07-02
P202303621,贾浩然,男,25,4.101021999120306e+17,城乡居民,许昌市,2022-01-13,停保,2026-07-02
P202300486,郭凤英,女,24,4.1010420001022234e+17,城镇职工,许昌市,2021-07-06,在保,2026-07-02
P202300080,何宇航,男,14,4.1070220101126957e+17,城乡居民,南阳市,2020-08-23,在保,2026-07-02
P202301345,李芳,女,67,4.10302195707281e+17,城镇职工,焦作市,2021-09-26,在保,2026-07-02
P202300578,薛文博,男,63,4.107021961071405e+17,城镇职工,焦作市,2023-02-21,在保,2026-07-02
P202301176,朱淑珍,女,44,4.1010219801124154e+17,城乡居民,平顶山市,2023-08-22,在保,2026-07-02
P202301488,吕诗涵,女,18,4.1010620060619776e+17,城乡居民,郑州市,2022-11-13,在保,2026-07-02
P202300498,梁语嫣,女,46,4.105021978051846e+17,城乡居民,许昌市,2023-01-09,在保,2026-07-02
P202304103,于涛,男,74,4.105021950021532e+17,城镇职工,安阳市,2023-08-19,在保,2026-07-02
P202301145,董斌,男,46,4.101031978100313e+17,城乡居民,安阳市,2020-07-25,在保,2026-07-02
P202303735,魏俊杰,男,64,4.10302196011163e+17,城镇职工,鹤壁市,2023-11-11,在保,2026-07-02
P202304238,董娟,女,43,4.103021981070159e+17,灵活就业,平顶山市,2024-02-27,停保,2026-07-02
P202303244,陈天宇,男,69,4.1030219550710483e+17,城乡居民,鹤壁市,2022-01-23,在保,2026-07-02
P202301236,韩超,男,79,4.101021945041537e+17,城镇职工,新乡市,2020-01-12,在保,2026-07-02
P202304569,高浩然,男,76,4.1010419481023315e+17,城乡居民,商丘市,2022-07-24,在保,2026-07-02
P202304268,沈玉兰,女,14,4.101052010122581e+17,城镇职工,安阳市,2020-07-24,在保,2026-07-02
P202300625,陈伟,男,78,4.105021946022246e+17,城镇职工,新乡市,2024-01-25,在保,2026-07-02
